state,fire_count,total_brightness,total_frp
louisiana,4035,1289553.1,144180.8
alaska,4425,1471166.2,402010.39999999997
maryland,86,26871.5,1525.3000000000002
wisconsin,627,196412.30000000002,15662.400000000001
florida,5976,1907991.1,179342.4
georgia,6779,2137054.8,163798.5
tennessee,1092,342456.7,21532.6
minnesota,915,290612.3,29854.2
iowa,1633,514344.3,37503.3
missouri,3345,1057331.1,96584.9
michigan,350,109167.4,5813.700000000001
idaho,11566,3826957.8000000003,1212880.9
california,11099,3739725.9999999995,1609781.9
connecticut,40,12426.7,475.5
texas,6802,2163551.9000000004,228991.19999999998
virginia,810,255109.1,19744.3
new_york,184,56744.7,2016.6
illinois,950,295574.5,16145.300000000001
montana,2917,966180.6000000001,316085.4
kentucky,538,168193.5,9627.300000000001
oregon,14702,4903952.9,1378038.2
district_of_columbia,1,319.2,8.7
ohio,635,196377.3,5810.8
arkansas,4562,1462001.1,149925.59999999998
washington,3997,1321156.8,386681.0
wyoming,3560,1204876.4000000001,545687.6
maine,39,11969.4,532.3
new_mexico,1016,339263.0,87266.79999999999
utah,1079,367072.69999999995,191908.4
west_virginia,251,78250.5,4239.0
kansas,4753,1528013.5,178009.89999999997
nevada,726,243178.5,87033.9
mississippi,3114,989135.1,91098.6
new_hampshire,2,612.4,14.8
alabama,4863,1541741.2999999998,151653.59999999998
south_dakota,428,138929.0,21903.2
pennsylvania,625,194989.3,8574.8
oklahoma,4586,1473403.9,185319.0
north_carolina,2268,712549.9,51646.2
massachusetts,77,23823.900000000005,1096.2
north_dakota,655,209133.80000000002,22792.7
delaware,26,8133.2,316.4
colorado,572,188747.4,47643.100000000006
south_carolina,2151,674855.6000000001,43373.3
hawaii,354,126639.9,158742.3
vermont,3,908.9000000000001,25.6
rhode_island,25,7691.0,191.9
indiana,990,307216.5,13166.8
new_jersey,190,59736.600000000006,3373.7999999999997
arizona,2285,750932.7,143152.9
nebraska,971,313122.9,58078.3
